25937 ,4.318
25938 ,4.3117
25939 ,4.3113
25940 ,4.3103
25941 ,4.3109
25944 ,4.3102
25945 ,4.3099
25946 ,4.3095
25947 ,4.3095
25948 ,4.3076
25951 ,4.3029
25952 ,4.3006
25953 ,4.301
25954 ,4.3017
25955 ,4.2996
25958 ,4.3005
25959 ,4.2987
25960 ,4.2973
25961 ,4.2978
25962 ,4.2963
25965 ,4.2968
25966 ,4.2969
25967 ,4.2965
25968 ,4.2966
25969 ,4.2969
25972 ,4.2979
25973 ,4.2969
25974 ,4.2972
25975 ,4.2967
25976 ,.
25979 ,.
25980 ,4.2968
25981 ,4.2968
25982 ,4.2967
25983 ,4.2963
25986 ,4.2958
25987 ,4.2957
25988 ,4.3015
25989 ,4.3073
25990 ,4.307
25993 ,4.3073
25994 ,4.3054
25995 ,4.3039
25996 ,4.3068
25997 ,4.3066
26000 ,4.302
26001 ,4.3011
26002 ,4.304
26003 ,4.3012
26004 ,4.301
26007 ,4.3004
26008 ,4.3002
26009 ,4.2995
26010 ,4.2983
26011 ,4.2972
26014 ,4.2971
26015 ,4.2972
26016 ,4.2968
26017 ,4.2969
26018 ,4.2959
26021 ,4.2966
26022 ,4.2958
26023 ,4.2954
26024 ,4.2955
26025 ,4.2947
26028 ,4.2971
26029 ,4.2974
26030 ,4.296
26031 ,4.2937
26032 ,4.2951
26035 ,4.2969
26036 ,4.3019
26037 ,4.3024
26038 ,4.2992
26039 ,4.3019
26042 ,4.3052
26043 ,4.3039
26044 ,4.3008
26045 ,4.2995
26046 ,4.3025
26049 ,4.3008
26050 ,4.299
26051 ,4.2957
26052 ,4.2957
26053 ,4.2959
26056 ,4.2955
26057 ,4.2952
26058 ,4.1841
26059 ,4.1667
26060 ,4.1374
26063 ,4.1076
26064 ,4.1164
26065 ,4.1095
26066 ,4.095
26067 ,4.095
26070 ,4.0914
26071 ,4.0872
26072 ,4.0866
26073 ,4.0869
26074 ,4.0733
26077 ,4.0771
26078 ,4.0868
26079 ,4.0882
26080 ,4.0984
26081 ,4.1058
26084 ,.
26085 ,4.1059
26086 ,4.0995
26087 ,4.0898
26088 ,4.094
26091 ,4.0879
26092 ,4.0896
26093 ,4.0909
26094 ,4.0851
26095 ,4.0885
26098 ,4.0901
26099 ,4.0948
26100 ,4.0907
26101 ,4.094
26102 ,4.0931
26105 ,4.0929
26106 ,4.0961
26107 ,4.0943
26108 ,4.094
26109 ,4.0944
26112 ,4.0981
26113 ,4.1017
26114 ,4.0989
